000C0,00041,00300
000C1,00041,00301
000C2,00041,00302
000C3,00041,00303
000C4,00041,00308
000C5,00041,0030A
000C7,00043,00327
000C8,00045,00300
000C9,00045,00301
000CA,00045,00302
000CB,00045,00308
000CC,00049,00300
000CD,00049,00301
000CE,00049,00302
000CF,00049,00308
000D1,0004E,00303
000D2,0004F,00300
000D3,0004F,00301
000D4,0004F,00302
000D5,0004F,00303
000D6,0004F,00308
000D9,00055,00300
000DA,00055,00301
000DB,00055,00302
000DC,00055,00308
000DD,00059,00301
000E0,00061,00300
000E1,00061,00301
000E2,00061,00302
000E3,00061,00303
000E4,00061,00308
000E5,00061,0030A
000E7,00063,00327
000E8,00065,00300
000E9,00065,00301
000EA,00065,00302
000EB,00065,00308
000EC,00069,00300
000ED,00069,00301
000EE,00069,00302
000EF,00069,00308
000F1,0006E,00303
000F2,0006F,00300
000F3,0006F,00301
000F4,0006F,00302
000F5,0006F,00303
000F6,0006F,00308
000F9,00075,00300
000FA,00075,00301
000FB,00075,00302
000FC,00075,00308
000FD,00079,00301
000FF,00079,00308
00100,00041,00304
00101,00061,00304
00102,00041,00306
00103,00061,00306
00104,00041,00328
00105,00061,00328
00106,00043,00301
00107,00063,00301
00108,00043,00302
00109,00063,00302
0010A,00043,00307
0010B,00063,00307
0010C,00043,0030C
0010D,00063,0030C
0010E,00044,0030C
0010F,00064,0030C
00112,00045,00304
00113,00065,00304
00114,00045,00306
00115,00065,00306
00116,00045,00307
00117,00065,00307
00118,00045,00328
00119,00065,00328
0011A,00045,0030C
0011B,00065,0030C
0011C,00047,00302
0011D,00067,00302
0011E,00047,00306
0011F,00067,00306
00120,00047,00307
00121,00067,00307
00122,00047,00327
00123,00067,00327
00124,00048,00302
00125,00068,00302
00128,00049,00303
00129,00069,00303
0012A,00049,00304
0012B,00069,00304
0012C,00049,00306
0012D,00069,00306
0012E,00049,00328
0012F,00069,00328
00130,00049,00307
00134,0004A,00302
00135,0006A,00302
00136,0004B,00327
00137,0006B,00327
00139,0004C,00301
0013A,0006C,00301
0013B,0004C,00327
0013C,0006C,00327
0013D,0004C,0030C
0013E,0006C,0030C
00143,0004E,00301
00144,0006E,00301
00145,0004E,00327
00146,0006E,00327
00147,0004E,0030C
00148,0006E,0030C
0014C,0004F,00304
0014D,0006F,00304
0014E,0004F,00306
0014F,0006F,00306
00150,0004F,0030B
00151,0006F,0030B
00154,00052,00301
00155,00072,00301
00156,00052,00327
00157,00072,00327
00158,00052,0030C
00159,00072,0030C
0015A,00053,00301
0015B,00073,00301
0015C,00053,00302
0015D,00073,00302
0015E,00053,00327
0015F,00073,00327
00160,00053,0030C
00161,00073,0030C
00162,00054,00327
00163,00074,00327
00164,00054,0030C
00165,00074,0030C
00168,00055,00303
00169,00075,00303
0016A,00055,00304
0016B,00075,00304
0016C,00055,00306
0016D,00075,00306
0016E,00055,0030A
0016F,00075,0030A
00170,00055,0030B
00171,00075,0030B
00172,00055,00328
00173,00075,00328
00174,00057,00302
00175,00077,00302
00176,00059,00302
00177,00079,00302
00178,00059,00308
00179,0005A,00301
0017A,0007A,00301
0017B,0005A,00307
0017C,0007A,00307
0017D,0005A,0030C
0017E,0007A,0030C
001A0,0004F,0031B
001A1,0006F,0031B
001AF,00055,0031B
001B0,00075,0031B
001CD,00041,0030C
001CE,00061,0030C
001CF,00049,0030C
001D0,00069,0030C
001D1,0004F,0030C
001D2,0006F,0030C
001D3,00055,0030C
001D4,00075,0030C
001D5,000DC,00304
001D6,000FC,00304
001D7,000DC,00301
001D8,000FC,00301
001D9,000DC,0030C
001DA,000FC,0030C
001DB,000DC,00300
001DC,000FC,00300
001DE,000C4,00304
001DF,000E4,00304
001E0,00226,00304
001E1,00227,00304
001E2,000C6,00304
001E3,000E6,00304
001E6,00047,0030C
001E7,00067,0030C
001E8,0004B,0030C
001E9,0006B,0030C
001EA,0004F,00328
001EB,0006F,00328
001EC,001EA,00304
001ED,001EB,00304
001EE,001B7,0030C
001EF,00292,0030C
001F0,0006A,0030C
001F4,00047,00301
001F5,00067,00301
001F8,0004E,00300
001F9,0006E,00300
001FA,000C5,00301
001FB,000E5,00301
001FC,000C6,00301
001FD,000E6,00301
001FE,000D8,00301
001FF,000F8,00301
00200,00041,0030F
00201,00061,0030F
00202,00041,00311
00203,00061,00311
00204,00045,0030F
00205,00065,0030F
00206,00045,00311
00207,00065,00311
00208,00049,0030F
00209,00069,0030F
0020A,00049,00311
0020B,00069,00311
0020C,0004F,0030F
0020D,0006F,0030F
0020E,0004F,00311
0020F,0006F,00311
00210,00052,0030F
00211,00072,0030F
00212,00052,00311
00213,00072,00311
00214,00055,0030F
00215,00075,0030F
00216,00055,00311
00217,00075,00311
00218,00053,00326
00219,00073,00326
0021A,00054,00326
0021B,00074,00326
0021E,00048,0030C
0021F,00068,0030C
00226,00041,00307
00227,00061,00307
00228,00045,00327
00229,00065,00327
0022A,000D6,00304
0022B,000F6,00304
0022C,000D5,00304
